,OD,Plein Tarif Loisir 2nde,1ère classe,dist
1329,DAX-PAU,19.0,27.0,
1330,DAX-POITIERS,60.0,86.0,
1331,DAX-RUFFEC CHARENTE,46.0,67.0,
1332,DAX-ST JEAN DE LUZ CIBOURE,16.5,23.5,
1333,DAX-ST PIERRE DES CORPS,70.0,103.0,
1334,DAX-TARBES,28.5,42.0,
1335,DAX-TGV HAUTE PICARDIE,144.0,174.0,
1336,DIJON VILLE-AEROPORT CDG 2 TGV ROISSY,67.0,90.0,
1337,DIJON VILLE-AGDE,101.0,134.0,
1338,DIJON VILLE-AGEN,122.0,163.0,
1339,DIJON VILLE-AIX EN PROVENCE TGV,91.0,122.0,
1340,DIJON VILLE-ANTIBES,124.0,161.0,
1341,DIJON VILLE-AVIGNON,81.0,106.0,
1342,DIJON VILLE-AVIGNON TGV,81.0,106.0,
1343,DIJON VILLE-BEAUNE,10.3,15.0,
1344,DIJON VILLE-BELFORT,37.0,53.0,
1345,DIJON VILLE-BELFORT-MONTBELIARD TGV,49.0,64.0,
1346,DIJON VILLE-BESANCON FRANCHE-COMTE TGV,24.5,33.0,
1347,DIJON VILLE-BESANCON VIOTTE,24.5,33.0,
1348,DIJON VILLE-BEZIERS,101.0,134.0,
1349,DIJON VILLE-BORDEAUX ST JEAN,137.0,185.0,
1350,DIJON VILLE-CAEN,86.0,112.0,
1351,DIJON VILLE-CANNES,124.0,161.0,
1352,DIJON VILLE-CARCASSONNE,107.0,141.0,
1353,DIJON VILLE-CHALON SUR SAONE,15.0,22.5,
1354,DIJON VILLE-CHERBOURG,86.0,112.0,
1355,DIJON VILLE-COLMAR,57.0,75.0,
1356,DIJON VILLE-CULMONT CHALINDREY,16.5,24.5,
1357,DIJON VILLE-DOLE VILLE,11.9,16.5,
1358,DIJON VILLE-ECOLE VALENTIN,24.5,33.0,
1359,DIJON VILLE-EVREUX EMBRANCHEMENT,82.0,107.0,
1360,DIJON VILLE-FRASNE,24.5,36.0,
1361,DIJON VILLE-LES ARCS DRAGUIGNAN,97.0,137.0,
1362,DIJON VILLE-LILLE EUROPE,111.0,144.0,
1363,DIJON VILLE-LILLE FLANDRES,111.0,144.0,
1364,DIJON VILLE-LISIEUX,86.0,112.0,
1365,DIJON VILLE-LYON PART DIEU,37.0,60.0,
1366,DIJON VILLE-LYON PERRACHE,37.0,60.0,
1367,DIJON VILLE-LYON ST EXUPERY,36.0,51.0,
1368,DIJON VILLE-MACON LOCHE TGV,26.0,39.0,
1369,DIJON VILLE-MACON VILLE,24.5,37.0,
1370,DIJON VILLE-MANTES LA J. TGV,65.0,89.0,
1371,DIJON VILLE-MANTES LA JOLIE,65.0,89.0,
1372,DIJON VILLE-MARNE LA VALLEE CHESSY,67.0,90.0,
1373,DIJON VILLE-MARSEILLE ST CHARLES,91.0,122.0,
1374,DIJON VILLE-METZ VILLE,64.0,83.0,
1375,DIJON VILLE-MONTAUBAN VILLE BOURBON,122.0,157.0,
1376,DIJON VILLE-MONTBARD,16.5,23.5,
1377,DIJON VILLE-MONTBELIARD,34.0,50.0,
1378,DIJON VILLE-MONTPELLIER,91.0,122.0,
1379,DIJON VILLE-MOUCHARD,17.5,24.5,
1380,DIJON VILLE-MULHOUSE VILLE,57.0,75.0,
1381,DIJON VILLE-NANCY VILLE,40.0,64.0,
1382,DIJON VILLE-NARBONNE,107.0,141.0,
1383,DIJON VILLE-NEUFCHATEAU,29.0,48.0,
1384,DIJON VILLE-NICE VILLE,124.0,161.0,
1385,DIJON VILLE-NIMES,84.0,110.0,
1386,DIJON VILLE-PARIS BERCY,65.0,89.0,
1387,DIJON VILLE-PARIS GARE DE LYON,67.0,90.0,
1388,DIJON VILLE-PARIS NORD,65.0,89.0,
1389,DIJON VILLE-PERPIGNAN,107.0,141.0,
1390,DIJON VILLE-PONTARLIER,26.5,40.0,
1391,DIJON VILLE-SETE,101.0,134.0,
1392,DIJON VILLE-ST RAPHAEL VALESCURE,124.0,161.0,
1393,DIJON VILLE-STRASBOURG,57.0,75.0,
1394,DIJON VILLE-TOUL,40.0,64.0,
1395,DIJON VILLE-TOULON,95.0,124.0,
1396,DIJON VILLE-TOULOUSE MATABIAU,122.0,157.0,
1397,DIJON VILLE-VALENCE,57.0,76.0,
1398,DIJON VILLE-VALENCE TGV,63.0,81.0,
1399,DOL DE BRETAGNE - PARIS MONTPARNASSE 1 ET 2,95.0,138.0,
1400,DOL-PARIS MONTPARNASSE 1 ET 2,85.0,123.0,
1401,DOL-RENNES,13.6,20.0,
1402,DOL-ST MALO,7.2,10.7,
1403,DOL-VITRE,21.0,30.0,
1404,DOLE VILLE-AEROPORT CDG 2 TGV ROISSY,79.0,105.0,
1405,DOLE VILLE-BELFORT,30.0,44.0,
1406,DOLE VILLE-FRASNE,17.5,24.5,
1407,DOLE VILLE-LILLE EUROPE,113.0,139.0,
1408,DOLE VILLE-LILLE FLANDRES,113.0,139.0,
1409,DOLE VILLE-MARNE LA VALLEE CHESSY,79.0,105.0,
1410,DOLE VILLE-MONTBARD,23.5,36.0,
1411,DOLE VILLE-MONTBELIARD,27.0,41.0,
1412,DOLE VILLE-MOUCHARD,9.2,13.5,
1413,DOLE VILLE-PARIS GARE DE LYON,79.0,105.0,
1414,DOLE VILLE-PARIS MONTPARNASSE 1 ET 2,76.0,106.0,
1415,DOLE VILLE-PONTARLIER,19.5,29.0,
1416,DOUAI - AURAY,116.0,153.0,
1417,DOUAI - LIBOURNE,130.0,172.0,
1418,DOUAI - REDON,113.0,144.0,
1419,DOUAI - ST MALO,116.0,147.0,
1420,DOUAI-AURAY,114.0,150.0,
1421,DOUAI-LIBOURNE,130.0,171.0,
1422,DOUAI-MONTAUBAN VILLE BOURBON,144.0,174.0,
1423,DOUAI-NARBONNE,150.0,188.0,
1424,DOUAI-REDON,108.0,137.0,
1425,DOUAI-SALLANCHES COMBLOUX MEGEVE,127.0,167.0,
1426,DOUAI-SETE,150.0,188.0,
1427,DOUAI-ST GERVAIS LES BAINS LE FAYET,127.0,167.0,
1428,DOUAI-ST JEAN DE LUZ CIBOURE,144.0,174.0,
1429,DOUAI-ST MALO,110.0,140.0,
1430,DOUAI-ST MICHEL VALLOIRE,127.0,167.0,
1431,DOUAI-ST PIERRE DES CORPS,101.0,134.0,
1432,DOUAI-TOULOUSE MATABIAU,150.0,188.0,
1433,DOUAI-VALENCIENNES,10.0,14.6,
1434,DUNKERQUE-AEROPORT CDG 2 TGV ROISSY,66.0,85.0,
1435,DUNKERQUE-AIME LA PLAGNE,127.0,167.0,
1436,DUNKERQUE-AIX LES BAINS LE REVARD,127.0,167.0,
1437,DUNKERQUE-ALBERTVILLE,127.0,167.0,
1438,DUNKERQUE-ANNECY,127.0,167.0,
1439,DUNKERQUE-ANNEMASSE,127.0,167.0,
1440,DUNKERQUE-ARRAS,23.5,35.0,
1441,DUNKERQUE-BETHUNE,16.0,23.0,
1442,DUNKERQUE-BOURG ST MAURICE,127.0,167.0,
1443,DUNKERQUE-CHAMBERY CHALLES LES EAUX,127.0,167.0,
1444,DUNKERQUE-CLUSES  74,127.0,167.0,
1445,DUNKERQUE-DOUAI,27.0,40.0,
1446,DUNKERQUE-HAZEBROUCK,10.7,15.5,
1447,DUNKERQUE-LA ROCHE SUR FORON,127.0,167.0,
1448,DUNKERQUE-LANDRY,127.0,167.0,
1449,DUNKERQUE-LENS,20.5,29.0,
1450,DUNKERQUE-LILLE EUROPE,21.5,33.0,
1451,DUNKERQUE-LILLE FLANDRES,21.5,33.0,
1452,DUNKERQUE-LYON PART DIEU,116.0,154.0,
