,Id,degree,group
485,494992512,26,1
486,18480787,26,1
487,14614861,25,1
488,240059142,25,1
489,210931856,25,1
490,34247411,25,0
491,38474832,25,0
492,726513,25,1
493,1119741,25,1
494,14751855,25,1
495,454367384,25,1
496,181606808,25,1
497,852249523133046788,25,1
498,1547804509,25,1
499,12362262,25,1
500,30909153,25,1
501,1108437189669597185,25,1
502,15083550,25,1
503,59484709,25,1
504,20851564,25,1
505,309638248,25,1
506,864120276396773376,25,1
507,26981485,25,1
508,2722608804,25,1
509,478494450,25,1
510,10470112,25,1
511,14600243,25,1
512,604752202,25,1
513,907906738422247424,25,1
514,40720843,25,2
515,16997102,25,1
516,712230163694678017,25,1
517,909778073003991041,25,2
518,15228823,25,1
519,14671775,25,2
520,66773314,25,1
521,296150117,25,1
522,7990122,25,1
523,197160220,25,1
524,289238546,25,1
525,746371177174679552,25,0
526,16544332,25,1
527,96532733,25,1
528,2214656856,25,1
529,39713727,25,1
530,20515529,24,1
531,146607428,24,1
532,14717055,24,1
533,509284940,24,1
534,29726352,24,1
535,15210670,24,2
536,68427085,24,1
537,1218155225133080579,24,1
538,138027035,24,2
539,22487542,24,1
540,1676648952,24,2
541,17343531,24,1
542,19834221,24,2
543,13138,24,1
544,14234583,24,1
545,55523059,24,1
546,3093051475,24,1
547,768880727656112128,24,1
548,66174232,24,1
549,1055800602,24,1
550,2323791517,24,1
551,120766602,24,1
552,15155750,24,1
553,2893496907,24,2
554,189907592,24,1
555,3938173949,24,0
556,1593295976,24,2
557,233358820,24,1
558,222417214,24,1
559,196531453,24,1
560,4737423676,24,1
561,3329482216,24,1
562,2840584391,24,1
563,514319028,24,1
564,127067583,24,1
565,20311677,24,2
566,16740967,24,1
567,7109112,24,1
568,111278684,24,2
569,2843640335,23,1
570,31688061,23,1
571,511740616,23,2
572,24383054,23,1
573,13340732,23,0
574,6624102,23,1
575,432838470,23,1
576,224237550,23,1
577,3749652701,23,1
578,3407064004,23,1
579,16002997,23,1
580,12692,23,1
581,2377692014,23,1
582,396571972,23,1
583,15841875,23,1
584,3115469045,23,1
585,19188103,23,1
586,3189001238,23,0
587,36392125,23,1
588,21352271,23,1
589,2976665501,23,1
590,903967395517214721,23,1
591,857620964124884993,23,1
592,19485870,23,2
593,4141274415,23,1
594,154096962,23,1
595,38821406,23,1
596,168222494,23,1
597,2309808150,23,1
598,31252613,23,0
599,8905662,23,1
600,1191043697955278848,23,1
601,5764792,23,1
602,106788948,23,1
603,18021601,23,1
604,706761787476189184,23,1
605,381452460,22,0
606,116064850,22,1
607,1389396872,22,2
608,2653586448,22,2
609,1246421,22,1
610,4264297743,22,0
611,20055386,22,1
612,775641570754367489,22,2
613,2180614559,22,1
614,302418557,22,1
615,953970825543258118,22,1
616,573803698,22,0
617,1109922426,22,1
618,17995479,22,1
619,966708024000811009,22,1
620,175414432,22,1
621,14164249,22,1
622,40837900,22,1
623,1620223160,22,2
624,2850760222,22,1
625,13870942,22,2
626,837291039786479617,22,0
627,15019986,22,1
628,1245753966,22,1
629,808051518242979841,22,2
630,14464195,22,1
631,1172487059262595072,22,1
632,14465315,22,1
633,91962781,22,1
634,32456965,22,0
635,27607934,22,1
636,746814847422193664,22,0
637,174606558,22,1
638,349260153,22,1
639,534202994,22,1
640,133385126,22,2
641,362400752,22,1
642,1519346424332406785,22,2
643,17093617,22,2
644,299160607,22,1
645,22369702,22,1
646,63035222,22,1
647,42818951,22,2
648,111041991,22,1
649,128966203,22,1
650,1182064568,22,1
651,982387592103714817,22,1
652,868375442067214336,22,0
653,15066876,22,2
654,19457875,22,1
655,17853213,22,1
656,1096370895722082304,22,1
657,64253234,22,1
658,832619452583645185,22,1
659,399307197,22,2
660,3094442434,22,1
661,23622418,22,1
662,219968293,22,1
663,919590332924399617,22,1
664,19068604,22,1
665,25458378,22,2
666,1134262608,22,0
667,2461924214,22,0
668,24378502,22,0
669,15270615,21,0
670,1323118430585786369,21,0
671,973929336297357312,21,1
672,1547241386,21,1
673,125143408,21,0
674,4850159457,21,2
675,17536486,21,2
676,18519972,21,1
677,3314784815,21,1
678,19962797,21,1
679,22027209,21,1
680,17210585,21,0
681,14327196,21,2
682,15081182,21,2
683,248131395,21,1
684,21836409,21,2
685,3060641,21,1
686,91141903,21,1
687,61520441,21,1
688,3374431174,21,1
689,992659865645518848,21,1
690,15843530,21,1
691,274120962,21,1
692,875446615,21,1
693,140165935,21,0
694,222479693,21,2
695,1051685398622162946,21,2
696,39962488,21,1
697,1317021372086915072,21,0
698,354864234,21,0
699,15158736,21,1
700,489377813,21,0
701,76304483,21,2
702,14340442,21,1
703,485708184,21,1
704,491377275,21,1
705,556914028,21,1
706,2740147945,21,2
707,75029332,21,1
708,1171350359350157312,21,1
709,854769693051297794,21,0
710,20274766,21,1
711,21586259,21,1
712,1204020134,21,1
713,149120416,21,1
714,13232092,21,1
715,520579417,21,1
716,21360280,21,2
717,1524605116996796417,21,1
718,123499239,21,1
719,1135276950,21,1
720,1015249721466736642,21,1
721,757144396643049472,21,0
722,102955736,21,0
723,23231293,21,1
724,142310647,21,1
725,1048955234469531649,21,1
726,46497783,21,1
727,15171576,21,1
728,4043080882,20,1
729,16778485,20,0
730,3906045793,20,1
731,51022697,20,1
732,55643166,20,1
733,1155841542562746371,20,1
734,2445807001,20,1
735,281808323,20,1
736,1344770017,20,1
737,1362661614,20,1
738,1305940272,20,1
739,512398175,20,1
740,961646094424924161,20,1
741,1141759270490398720,20,1
742,22780471,20,2
743,140581510,20,1
744,232397740,20,1
745,2301271489,20,1
746,415671747,20,1
747,177219636,20,1
748,568437023,20,2
749,14265549,20,2
750,484781566,20,0
751,191802914,20,1
752,322777832,20,1
753,15873714,20,1
754,827212621250232320,20,1
755,21575710,20,1
756,14301286,20,1
757,1252636686867214336,20,1
758,9648692,20,2
759,190724706,20,1
760,15317651,20,1
761,24066790,20,1
762,191347494,20,1
763,4842372993,20,0
764,18268293,20,1
765,1534836979,20,1
766,121749751,20,1
767,2784051524,20,0
768,9159022,20,1
769,299582083,20,2
770,19907309,20,1
771,2425701497,20,1
772,328418866,20,0
773,20269014,20,1
774,281528381,20,0
775,604883169,20,0
776,362236431,20,1
777,614419104,20,1
